#,result,kills,deaths,assists,duration,summoner,region,puuid
39,Victory,10,4,10,26m 18s,Azzapp-31415,EUW,H_ZjXc9sstX-3hUvs97BYR3AVKg3wH3VxAyU5QN0H_lfzF2_qkA4kuXi-_rEJKQrAxEZkiCT7ePLDQ
40,Victory,15,4,11,37m 51s,Azzapp-31415,EUW,H_ZjXc9sstX-3hUvs97BYR3AVKg3wH3VxAyU5QN0H_lfzF2_qkA4kuXi-_rEJKQrAxEZkiCT7ePLDQ
41,Defeat,3,6,2,19m 06s,Azzapp-31415,EUW,H_ZjXc9sstX-3hUvs97BYR3AVKg3wH3VxAyU5QN0H_lfzF2_qkA4kuXi-_rEJKQrAxEZkiCT7ePLDQ
42,Victory,6,0,7,23m 50s,Azzapp-31415,EUW,H_ZjXc9sstX-3hUvs97BYR3AVKg3wH3VxAyU5QN0H_lfzF2_qkA4kuXi-_rEJKQrAxEZkiCT7ePLDQ
43,Victory,8,1,6,22m 30s,Azzapp-31415,EUW,H_ZjXc9sstX-3hUvs97BYR3AVKg3wH3VxAyU5QN0H_lfzF2_qkA4kuXi-_rEJKQrAxEZkiCT7ePLDQ
44,Defeat,4,11,7,27m 12s,Azzapp-31415,EUW,H_ZjXc9sstX-3hUvs97BYR3AVKg3wH3VxAyU5QN0H_lfzF2_qkA4kuXi-_rEJKQrAxEZkiCT7ePLDQ
45,Victory,3,6,9,30m 14s,Azzapp-31415,EUW,H_ZjXc9sstX-3hUvs97BYR3AVKg3wH3VxAyU5QN0H_lfzF2_qkA4kuXi-_rEJKQrAxEZkiCT7ePLDQ
46,Victory,7,4,14,30m 24s,Azzapp-31415,EUW,H_ZjXc9sstX-3hUvs97BYR3AVKg3wH3VxAyU5QN0H_lfzF2_qkA4kuXi-_rEJKQrAxEZkiCT7ePLDQ
47,Defeat,4,5,6,25m 10s,Azzapp-31415,EUW,H_ZjXc9sstX-3hUvs97BYR3AVKg3wH3VxAyU5QN0H_lfzF2_qkA4kuXi-_rEJKQrAxEZkiCT7ePLDQ
48,Defeat,5,9,13,37m 21s,Azzapp-31415,EUW,H_ZjXc9sstX-3hUvs97BYR3AVKg3wH3VxAyU5QN0H_lfzF2_qkA4kuXi-_rEJKQrAxEZkiCT7ePLDQ
49,Victory,11,4,12,27m 34s,Azzapp-31415,EUW,H_ZjXc9sstX-3hUvs97BYR3AVKg3wH3VxAyU5QN0H_lfzF2_qkA4kuXi-_rEJKQrAxEZkiCT7ePLDQ
50,Victory,13,4,7,24m 39s,Azzapp-31415,EUW,H_ZjXc9sstX-3hUvs97BYR3AVKg3wH3VxAyU5QN0H_lfzF2_qkA4kuXi-_rEJKQrAxEZkiCT7ePLDQ
51,Victory,0,6,16,27m 51s,Azzapp-31415,EUW,H_ZjXc9sstX-3hUvs97BYR3AVKg3wH3VxAyU5QN0H_lfzF2_qkA4kuXi-_rEJKQrAxEZkiCT7ePLDQ
52,Victory,7,8,12,39m 16s,Azzapp-31415,EUW,H_ZjXc9sstX-3hUvs97BYR3AVKg3wH3VxAyU5QN0H_lfzF2_qkA4kuXi-_rEJKQrAxEZkiCT7ePLDQ
53,Victory,7,6,5,32m 10s,Azzapp-31415,EUW,H_ZjXc9sstX-3hUvs97BYR3AVKg3wH3VxAyU5QN0H_lfzF2_qkA4kuXi-_rEJKQrAxEZkiCT7ePLDQ
54,Victory,6,6,14,40m 50s,Azzapp-31415,EUW,H_ZjXc9sstX-3hUvs97BYR3AVKg3wH3VxAyU5QN0H_lfzF2_qkA4kuXi-_rEJKQrAxEZkiCT7ePLDQ
55,Defeat,4,9,6,27m 50s,Azzapp-31415,EUW,H_ZjXc9sstX-3hUvs97BYR3AVKg3wH3VxAyU5QN0H_lfzF2_qkA4kuXi-_rEJKQrAxEZkiCT7ePLDQ
56,Defeat,3,7,4,26m 28s,Azzapp-31415,EUW,H_ZjXc9sstX-3hUvs97BYR3AVKg3wH3VxAyU5QN0H_lfzF2_qkA4kuXi-_rEJKQrAxEZkiCT7ePLDQ
57,Defeat,13,7,2,29m 09s,Azzapp-31415,EUW,H_ZjXc9sstX-3hUvs97BYR3AVKg3wH3VxAyU5QN0H_lfzF2_qkA4kuXi-_rEJKQrAxEZkiCT7ePLDQ
